순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
251,000070,삼양홀딩스,"96,300","-4,200","-4.2","26,188","2,556,766,700","99,500","100,500","96,300","824,739,297,300","0.04","8,564,271",,,
252,001680,대상,"23,750","-550","-2.3","116,932","2,793,110,400","23,900","24,050","23,700","822,890,593,750","0.04","34,648,025",,,
253,199800,툴젠,"128,100","-9,700","-7.0","18,605","2,427,386,100","131,500","137,800","128,100","819,365,901,900","0.04","6,396,299",,,
254,009450,경동나비엔,"64,300","-1,200","-1.8","69,148","4,459,205,700","63,800","65,200","63,800","819,150,493,000","0.04","12,739,510",,,
255,000250,삼천당제약,"36,850","-2,500","-6.4","537,085","20,427,570,650","38,000","39,350","36,850","814,599,209,050","0.04","22,105,813",,,
256,001060,JW중외제약,"41,250","-1,750","-4.1","127,069","5,291,634,850","41,850","42,200","41,100","810,033,881,250","0.04","19,637,185",,,
257,237690,에스티팜,"43,050","-1,950","-4.3","218,603","9,662,135,750","43,550","45,500","43,000","803,140,800,000","0.04","18,656,000",,,
258,049770,동원F&B,"208,000","-6,000","-2.8","4,966","1,037,462,000","212,500","213,500","206,500","802,697,792,000","0.04","3,859,124",,,
259,009410,태영건설,"10,450","-450","-4.1","334,034","3,523,708,950","10,600","10,750","10,300","798,380,000,000","0.04","76,400,000",,,
260,000640,동아쏘시오홀딩스,"129,000","-4,000","-3.0","22,158","2,880,761,500","130,000","132,000","127,500","791,839,926,000","0.04","6,138,294",,,
261,014680,한솔케미칼,"69,700","-2,600","-3.6","48,802","3,448,810,700","71,500","71,700","69,700","787,275,091,500","0.04","11,295,195",,,
262,267260,현대일렉트릭,"76,400","-2,800","-3.5","100,717","7,737,364,400","77,700","78,200","75,900","779,721,821,200","0.04","10,205,783",,,
263,284740,쿠쿠홈시스,"171,500","-5,500","-3.1","14,865","2,553,692,000","176,000","176,000","170,000","769,600,419,000","0.04","4,487,466",,,
264,093050,LF,"26,300","-550","-2.0","77,247","2,052,225,150","26,500","27,050","26,300","769,012,000,000","0.04","29,240,000",,,
265,073240,금호타이어,"4,810","-340","-6.6","5,791,797","28,731,707,480","5,010","5,210","4,615","759,947,089,980","0.04","157,993,158",,,
266,112040,위메이드,"45,000","-2,650","-5.6","227,609","10,452,010,300","46,250","47,400","44,850","756,000,000,000","0.04","16,800,000",,,
267,024720,한국콜마홀딩스,"45,100","-2,250","-4.8","39,739","1,825,089,000","46,000","46,850","45,050","755,377,013,600","0.04","16,748,936",,,
268,005290,동진쎄미켐,"14,650","-1,250","-7.9","833,803","12,627,272,350","15,300","15,900","14,650","753,222,337,100","0.04","51,414,494",,,
269,007570,일양약품,"38,850","-2,050","-5.0","204,052","8,136,224,300","40,250","40,700","38,800","739,936,478,400","0.04","19,045,984",,,
270,066575,LG전자우,"42,550","-1,900","-4.3","31,563","1,360,350,600","43,750","43,750","42,500","731,263,959,600","0.04","17,185,992",,,
271,034830,한국토지신탁,"2,890","-70","-2.4","635,918","1,849,093,280","2,915","2,945","2,880","729,693,874,700","0.04","252,489,230",,,
272,005850,에스엘,"21,450","-900","-4.0","62,110","1,351,004,650","22,000","22,100","21,350","726,406,180,500","0.04","33,865,090",,,
273,020000,한섬,"29,350","-250","-0.8","54,658","1,609,441,400","29,350","29,900","28,650","722,890,500,000","0.04","24,630,000",,,
274,009970,영원무역홀딩스,"53,000","-1,900","-3.5","766","41,805,500","54,900","55,000","53,000","722,686,376,000","0.04","13,635,592",,,
